run_index,seed,n_agents,n_time_points,mode,n_start_windows,attack_rate_true,attack_rate_pred,peak_day_true,peak_day_pred
0,50,500,37,early_first_window,1,0.02400000000000002,0.007801635742187507,15.0,26.0
1,50,500,37,early_first_window,1,0.02400000000000002,0.007801635742187507,15.0,26.0
2,50,500,37,early_first_window,1,0.02400000000000002,0.007801635742187507,15.0,26.0
3,50,500,37,early_first_window,1,0.02400000000000002,0.007801635742187507,15.0,26.0
4,50,500,37,early_first_window,1,0.02400000000000002,0.007801635742187507,15.0,26.0
5,50,500,84,early_first_window,1,0.782,-0.026362792968749993,47.0,26.0
6,50,500,84,early_first_window,1,0.782,-0.026362792968749993,47.0,26.0
7,50,500,84,early_first_window,1,0.782,-0.026362792968749993,47.0,26.0
8,50,500,84,early_first_window,1,0.782,-0.026362792968749993,47.0,26.0
9,50,500,84,early_first_window,1,0.782,-0.026362792968749993,47.0,26.0
10,50,500,84,early_first_window,1,0.782,-0.026362792968749993,47.0,26.0
11,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
12,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
13,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
14,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
15,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
16,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
17,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
18,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
19,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
20,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
21,51,500,12,early_first_window,1,0.0020000000000000018,0.006311645507812491,0.0,11.0
22,52,500,90,early_first_window,1,0.738,-0.04789367675781242,52.0,12.0
23,52,500,90,early_first_window,1,0.738,-0.04789367675781242,52.0,12.0
24,52,500,90,early_first_window,1,0.738,-0.04789367675781242,52.0,12.0
25,52,500,90,early_first_window,1,0.738,-0.04789367675781242,52.0,12.0
