Mode=early_first_window | dataset=baseline_dataset.npz | training_dir=koopman_training | history_days=5 | attack_rate_as_percent=True
-------------------------------------------------------------------------------------------------------------------------------------
run=0000 seed=50 | attack_rate real=2.40 vs pred=0.78 | peak_day real=15.00 vs pred=26.00
run=0001 seed=50 | attack_rate real=2.40 vs pred=0.78 | peak_day real=15.00 vs pred=26.00
run=0002 seed=50 | attack_rate real=2.40 vs pred=0.78 | peak_day real=15.00 vs pred=26.00
run=0003 seed=50 | attack_rate real=2.40 vs pred=0.78 | peak_day real=15.00 vs pred=26.00
run=0004 seed=50 | attack_rate real=2.40 vs pred=0.78 | peak_day real=15.00 vs pred=26.00
run=0005 seed=50 | attack_rate real=78.20 vs pred=-2.64 | peak_day real=47.00 vs pred=26.00
run=0006 seed=50 | attack_rate real=78.20 vs pred=-2.64 | peak_day real=47.00 vs pred=26.00
run=0007 seed=50 | attack_rate real=78.20 vs pred=-2.64 | peak_day real=47.00 vs pred=26.00
run=0008 seed=50 | attack_rate real=78.20 vs pred=-2.64 | peak_day real=47.00 vs pred=26.00
run=0009 seed=50 | attack_rate real=78.20 vs pred=-2.64 | peak_day real=47.00 vs pred=26.00
run=0010 seed=50 | attack_rate real=78.20 vs pred=-2.64 | peak_day real=47.00 vs pred=26.00
run=0011 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0012 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0013 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0014 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0015 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0016 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0017 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0018 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0019 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0020 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0021 seed=51 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0022 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0023 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0024 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0025 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0026 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0027 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0028 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0029 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0030 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0031 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0032 seed=52 | attack_rate real=73.80 vs pred=-4.79 | peak_day real=52.00 vs pred=12.00
run=0033 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0034 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0035 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0036 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0037 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0038 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0039 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0040 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0041 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0042 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0043 seed=53 | attack_rate real=0.20 vs pred=0.56 | peak_day real=0.00 vs pred=15.00
run=0044 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0045 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0046 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0047 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0048 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0049 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0050 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0051 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0052 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0053 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0054 seed=54 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0055 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0056 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0057 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0058 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0059 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0060 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0061 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0062 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0063 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0064 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0065 seed=55 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0066 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0067 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0068 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0069 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0070 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0071 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0072 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0073 seed=56 | attack_rate real=65.40 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0074 seed=56 | attack_rate real=65.60 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0075 seed=56 | attack_rate real=65.60 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0076 seed=56 | attack_rate real=65.60 vs pred=-2.32 | peak_day real=44.00 vs pred=25.00
run=0077 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0078 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0079 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0080 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0081 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0082 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0083 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0084 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0085 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0086 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
run=0087 seed=57 | attack_rate real=79.00 vs pred=-6.80 | peak_day real=42.00 vs pred=12.00
