day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,498,2,0,0,1,0,0,2,0
5,496,4,0,0,2,0,0,4,0
6,496,4,0,0,0,0,0,4,0
7,496,4,0,0,0,0,0,4,0
8,496,4,0,0,0,0,0,4,0
9,493,7,0,0,3,0,0,7,0
10,491,9,0,0,2,0,0,9,0
11,491,9,0,0,0,0,0,9,0
12,491,9,0,0,0,0,0,9,0
13,491,9,0,0,0,0,0,9,0
14,491,9,0,0,0,0,0,9,0
15,489,10,1,0,2,1,0,10,0
16,489,10,1,0,0,0,0,10,0
17,489,9,2,0,0,1,0,9,0
18,489,9,2,0,0,0,0,9,0
19,489,9,2,0,0,0,0,9,0
20,488,8,4,0,1,2,0,8,0
21,488,6,6,0,0,2,0,6,0
22,488,5,7,0,0,1,0,5,0
23,488,5,7,0,0,0,0,5,0
24,488,5,7,0,0,0,0,5,0
25,488,4,8,0,0,1,0,4,0
26,488,3,9,0,0,1,0,3,0
27,488,2,10,0,0,1,0,2,0
28,488,2,10,0,0,0,0,2,0
29,488,2,10,0,0,0,0,2,0
30,488,2,10,0,0,0,0,2,0
31,488,1,11,0,0,1,0,1,0
32,488,1,11,0,0,0,0,1,0
33,488,1,11,0,0,0,0,1,0
34,488,1,11,0,0,0,0,1,0
35,488,1,11,0,0,0,0,1,0
36,488,0,12,0,0,1,0,0,0
