agent_id,day,home_id,phase,susceptibility,immunity_strength,state,state_code,is_mobile,viral_load,infection_day,days_since_infection,immunity_is_strong,immunity_is_medium,immunity_is_low,immunity_is_compromised,route_centroid_x,route_centroid_y,route_radius_mean,route_radius_max,route_step_distance_mean,route_step_distance_max,seed,susceptibility_min,susceptibility_max,sim_days,baseline_final_attack_rate,baseline_peak_infected,baseline_peak_day,intervention_final_attack_rate,intervention_final_susceptible,intervention_peak_infected,intervention_peak_day,attack_rate_reduction,baseline_is_outbreak,intervention_is_outbreak,prevented_outbreak
144,5,22,7,1.3008784371609998,medium,infected,1,1,39.532,0,5,0,1,0,0,28.4,12.8,14.855581170897432,21.84490787346104,22.287824239768888,33.61547262794322,50,1.3,1.3019593,60,0.024,10,15,0.01,495,5,9,0.014,0,0,0
316,5,39,9,1.3013309573749101,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,17.0,19.6,19.79245966493258,31.054146261006757,30.78292717142718,47.16990566028302,50,1.3,1.3019593,60,0.024,10,15,0.012,494,6,9,0.012,0,0,0
316,10,39,9,1.3013309573749101,medium,infected,1,1,39.532,5,5,0,1,0,0,17.0,19.6,19.79245966493258,31.054146261006757,30.78292717142718,47.16990566028302,50,1.3,1.3019593,60,0.024,10,15,0.014,493,7,9,0.01,0,0,0
12,10,57,1,1.3014361645736385,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,17.7,24.4,16.69026210324187,26.127571643763606,24.384315617484134,35.73513677041127,50,1.3,1.3019593,60,0.024,10,15,0.016,492,8,10,0.008,0,0,0
144,4,22,7,1.3008784371609998,medium,infected,1,1,37.988,0,4,0,1,0,0,28.4,12.8,14.855581170897432,21.84490787346104,22.287824239768888,33.61547262794322,50,1.3,1.3019593,60,0.024,10,15,0.016,492,6,15,0.008,0,0,0
383,4,94,1,1.300348233040455,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,35.1,23.9,16.682826857962496,37.01918421575495,20.5111299148233,49.03060268852505,50,1.3,1.3019593,60,0.024,10,15,0.016,492,6,15,0.008,0,0,0
12,15,57,1,1.3014361645736385,medium,infected,1,1,39.734,10,5,0,1,0,0,17.7,24.4,16.69026210324187,26.127571643763606,24.384315617484134,35.73513677041127,50,1.3,1.3019593,60,0.024,10,15,0.018,491,9,10,0.006000000000000002,0,0,0
383,9,94,1,1.300348233040455,medium,infected,1,1,39.687,4,5,0,1,0,0,35.1,23.9,16.682826857962496,37.01918421575495,20.5111299148233,49.03060268852505,50,1.3,1.3019593,60,0.024,10,15,0.018,491,7,15,0.006000000000000002,0,0,0
296,15,121,5,1.3016805514077086,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,26.6,23.7,18.239948740670698,27.28094573140748,31.956942853157756,44.598206241955516,50,1.3,1.3019593,60,0.024,10,15,0.02,490,9,10,0.004,0,0,0
129,9,78,8,1.3004351924578188,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,35.8,23.2,11.506460487441379,19.117531221368512,17.33288462284242,31.064449134018133,50,1.3,1.3019593,60,0.024,10,15,0.022,489,9,15,0.0020000000000000018,0,0,0
187,5,32,9,1.3005772140720933,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,26.0,16.9,15.180465339767633,30.459973736035952,27.051739919273352,44.28317965096906,50,1.3,1.3019593,60,0.024,10,15,0.022,489,9,15,0.0020000000000000018,0,0,0
263,20,137,3,1.3000249427689885,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,25.9,23.3,16.277234878471347,25.205158202241062,26.27047118910634,43.9089968002003,50,1.3,1.3019593,60,0.024,10,15,0.022,489,10,15,0.0020000000000000018,0,0,0
284,9,99,5,1.3018110254946795,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,30.3,20.7,17.876072254012293,26.0725909721301,26.027765989005378,45.31004303683677,50,1.3,1.3019593,60,0.024,10,15,0.022,489,9,15,0.0020000000000000018,0,0,0
286,10,14,1,1.3014097936842886,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,18.4,32.7,16.189112704807094,29.893979326948095,25.66734449366452,48.76474136094644,50,1.3,1.3019593,60,0.024,10,15,0.022,489,9,15,0.0020000000000000018,0,0,0
296,20,121,5,1.3016805514077086,medium,infected,1,1,39.764,15,5,0,1,0,0,26.6,23.7,18.239948740670698,27.28094573140748,31.956942853157756,44.598206241955516,50,1.3,1.3019593,60,0.024,10,15,0.022,489,10,15,0.0020000000000000018,0,0,0
331,9,39,2,1.3017229883293426,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,26.4,27.3,14.088410970559115,28.12561110447202,16.522591160324204,47.265209192385896,50,1.3,1.3019593,60,0.024,10,15,0.022,489,9,15,0.0020000000000000018,0,0,0
338,15,98,1,1.3001929510461376,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,36.5,28.9,17.51339910280205,37.61196618099086,29.087556636922425,57.62811813689564,50,1.3,1.3019593,60,0.024,10,15,0.022,489,9,10,0.0020000000000000018,0,0,0
0,0,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,1,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,2,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,3,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,4,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,5,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,6,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,7,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
0,8,127,9,1.3014362542252076,strong,susceptible,0,1,0.0,-1,-1,1,0,0,0,31.1,33.1,15.494896349563641,27.225355828712324,22.448474433291153,39.44616584663204,50,1.3,1.3019593,60,0.024,10,15,0.024,488,10,15,0.0,0,0,0
