feature,importance
seed_numeric,0.10913893913313366
koopman_p_major,0.0938898186756807
run_index_numeric,0.0799284607044398
koopman_attack_rate_pred,0.07457296822280074
susceptible__std,0.03835358379730698
infected__delta,0.03178855056464335
infected__slope,0.03156579833518318
new_infections__sum_per_agent,0.029745261978621762
susceptible__slope,0.0297229810929788
infected__delta_frac,0.029129269995651814
new_infections__sum,0.028947057455103203
new_infections__mean_frac,0.028549595987615153
new_infections__max_frac,0.028522033176585075
new_infections__std,0.025211229308025322
susceptible__delta_frac,0.024871753827829437
susceptible__delta,0.023089638143077233
new_infections__mean,0.021674986180809985
koopman_z1,0.020046307917071675
new_infections__max,0.016881786095004212
koopman_boundary_score,0.01389841304125125
infected_mobile__last,0.012691306086027641
infected__max,0.01186793333181831
infected_mobile__max_frac,0.010989393777271877
end_day,0.01061897899758442
koopman_z0,0.010063800832811462
infected_mobile__last_frac,0.009744841048638373
susceptible__last_frac,0.008254709424375627
susceptibility_max,0.008013819871031726
infected__sum,0.007977890752244615
infected_mobile__max,0.007630590256768097
infected__last,0.007525110371709208
infected_mobile__delta_frac,0.00713270604031387
infected__max_frac,0.006662038029207625
infected_to_susceptible_last,0.006486288585961174
infected__std,0.006133535126623995
susceptible__sum,0.0061087956898215005
infected_mobile__mean,0.004905879451943134
infected__last_frac,0.004748439078290446
susceptible__min,0.004706787562944875
infected_mobile__sum_per_agent,0.004142520810770623
infected_mobile__delta,0.0037449503802645845
infected_mobile__slope,0.003672232061945523
koopman_z4,0.003670043847653362
koopman_z5,0.0035375889144983663
susceptible__mean_frac,0.003505578360634362
susceptible__last,0.00290845247243028
susceptible__sum_per_agent,0.002872388105876842
infected__mean,0.002832593548072565
susceptible__mean,0.002782269826794865
infected__sum_per_agent,0.0026858977820599567
koopman_z3,0.0025439757883683276
infected_mobile__std,0.002541376096700484
infected_mobile__mean_frac,0.0025194091750765446
infected__mean_frac,0.002054241970431153
koopman_z2,0.0018496322594968343
infected_mobile__sum,0.0015912533482262824
infected_homebound__last,0.0011585239490726974
infected_homebound__mean_frac,0.0010667363457851622
infected_homebound__mean,0.0010460966300503852
infected_homebound__sum,0.001007598827348044
infected_mobile__min,0.0009683986469095241
infected_homebound__sum_per_agent,0.0009389040216312
infected_homebound__last_frac,0.0008221914512828304
koopman_available,0.0008161587458383994
infected_mobile__first,0.0007816339464016196
new_infections_to_infected_last,0.0007310213756332293
susceptible__max,0.0007264819909939417
infected_mobile_share_last,0.0006844298579060305
infected_homebound__max_frac,0.0006840688083230015
new_infections__slope,0.0006634251618212074
infected__min,0.0006626814065888414
susceptible__first,0.0006159241310769323
susceptible__max_frac,0.0006035258214712466
infected__first,0.0005727737388121916
infected_homebound__max,0.0005726160853039861
infected_homebound__slope,0.000459498811563689
new_infections__delta,0.0004346887199368422
infected_homebound__std,0.0003764736009799894
new_infections__delta_frac,0.000371078205425159
new_infections__first,0.000348035183256268
infected_homebound__delta,0.00033925087986616867
infected_homebound__delta_frac,0.0002994499059637563
new_infections__last,0.0002823518345586523
infected_homebound__first,0.0002604129244645627
infected_homebound__min,0.00021290364572699712
new_infections__last_frac,0.0002062062569587258
new_recoveries__max,1.5147779554989255e-05
new_recoveries__std,3.6506754657040376e-06
new_recoveries__slope,1.976998849932852e-06
recovered__slope,1.944754331413923e-06
recovered__max_frac,1.8145510978100582e-06
new_recoveries__mean,1.7247516962193198e-06
recovered__max,1.7049557423400417e-06
new_recoveries__sum_per_agent,1.638368378512618e-06
new_recoveries__delta,1.47149587686634e-06
recovered__last,1.4055568901989437e-06
recovered__mean,1.2907456729616681e-06
new_recoveries__last_frac,1.2624054443834364e-06
recovered__sum_per_agent,9.446549830304689e-07
recovered__sum,8.331272419059172e-07
recovered__delta,7.735596547976852e-07
recovered__last_frac,5.519634149568553e-07
new_recoveries__delta_frac,4.828144347280457e-07
new_recoveries__mean_frac,4.5606299417383025e-07
new_recoveries__sum,4.483605152234026e-07
recovered__delta_frac,4.310488149524655e-07
new_recoveries__max_frac,3.994956149311558e-07
recovered__std,3.8028571609483656e-07
recovered__mean_frac,4.197916006928374e-08
new_infections__min,2.2221823798292414e-16
new_recoveries__last,9.254655601032379e-18
dead__delta,0.0
dead__delta_frac,0.0
dead__first,0.0
dead__last,0.0
dead__last_frac,0.0
dead__max,0.0
dead__max_frac,0.0
dead__mean,0.0
dead__mean_frac,0.0
dead__min,0.0
dead__slope,0.0
dead__std,0.0
dead__sum,0.0
dead__sum_per_agent,0.0
history_days,0.0
new_deaths__delta,0.0
new_deaths__delta_frac,0.0
new_deaths__first,0.0
new_deaths__last,0.0
new_deaths__last_frac,0.0
new_deaths__max,0.0
new_deaths__max_frac,0.0
new_deaths__mean,0.0
new_deaths__mean_frac,0.0
new_deaths__min,0.0
new_deaths__slope,0.0
new_deaths__std,0.0
new_deaths__sum,0.0
new_deaths__sum_per_agent,0.0
new_recoveries__first,0.0
new_recoveries__min,0.0
recovered__first,0.0
recovered__min,0.0
susceptibility_min,0.0
