day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,497,3,0,0,2,0,0,3,0
5,497,3,0,0,0,0,0,3,0
6,497,3,0,0,0,0,0,3,0
7,495,5,0,0,2,0,0,4,1
8,495,5,0,0,0,0,0,4,1
9,495,5,0,0,0,0,0,4,1
10,495,5,0,0,0,0,0,3,2
11,495,5,0,0,0,0,0,3,2
12,494,6,0,0,1,0,0,4,2
13,494,6,0,0,0,0,0,4,2
14,494,6,0,0,0,0,0,5,1
15,492,7,1,0,2,1,0,6,1
16,492,7,1,0,0,0,0,6,1
17,490,9,1,0,2,0,0,9,0
18,489,10,1,0,1,0,0,10,0
19,489,10,1,0,0,0,0,10,0
20,488,10,2,0,1,1,0,9,1
21,486,12,2,0,2,0,0,11,1
22,482,16,2,0,4,0,0,14,2
23,480,17,3,0,2,1,0,15,2
24,480,17,3,0,0,0,0,15,2
25,477,19,4,0,3,1,0,16,3
26,473,23,4,0,4,0,0,19,4
27,470,26,4,0,3,0,0,23,3
28,465,29,6,0,5,2,0,25,4
29,464,30,6,0,1,0,0,26,4
30,461,32,6,1,3,0,1,29,3
31,461,31,7,1,0,1,0,28,3
32,455,36,8,1,6,1,0,33,3
33,444,44,11,1,11,3,0,42,2
34,442,45,12,1,2,1,0,43,2
35,437,50,12,1,5,0,0,47,3
36,432,54,12,2,5,0,1,51,3
37,420,64,14,2,12,2,0,61,3
38,402,75,21,2,18,7,0,71,4
39,400,75,23,2,2,2,0,71,4
40,392,83,23,2,8,0,0,77,6
41,380,93,25,2,12,2,0,82,11
42,370,101,27,2,10,2,0,91,10
43,363,105,30,2,7,3,0,95,10
44,354,107,37,2,9,7,0,95,12
45,345,113,40,2,9,3,0,101,12
46,327,129,42,2,18,2,0,116,13
47,319,135,44,2,8,2,0,121,14
48,304,144,50,2,15,6,0,132,12
49,290,148,60,2,14,10,0,134,14
50,282,147,69,2,8,9,0,133,14
51,281,145,72,2,1,3,0,132,13
52,267,154,77,2,14,5,0,140,14
53,254,155,89,2,13,12,0,143,12
54,246,153,98,3,8,9,1,144,9
55,234,161,102,3,12,4,0,152,9
56,227,161,109,3,7,7,0,150,11
57,212,167,118,3,15,9,0,154,13
58,199,161,135,5,13,17,2,147,14
59,194,155,146,5,5,11,0,142,13
